Age,Height,Weight,Foot_Length,Head_Circ,Chest_Circ,Neck_Circ,Waist_Circ,Shoulder_Breadth,Sitting_Ht,SittingKneeHt,SittingEyeHt,NavalHt,Pupils_Dist,ArmSpan,Writing Hand,Gender (1=M)
40,1750,98.8,299,585,1129,407,974,555,895,572,779,1063,72,1876,1,1
23,1819,88.7,274,563,1048,391,844,538,947,563,825,1129,71,1886,1,1
19,1799,98.7,297,628,1063,411,969,520,910,588,783,1108,68,1894,1,1
21,1750,85.2,255,587,1098,385,1010,501,900,558,789,1072,64,1813,1,1
27,1723,74.8,260,583,972,378,892,494,884,555,771,1065,63,1830,1,1
41,1809,92,278,567,1127,390,1032,510,928,577,810,1110,62,1798,1,1
33,1791,74.4,272,600,963,375,851,490,967,560,844,1053,65,1807,1,1
35,1723,82.3,260,584,1098,400,979,511,901,536,792,1016,66,1801,2,1
21,1578,62.7,233,541,953,372,857,454,863,472,743,908,61,1536,1,1
24,1718,77.8,273,570,1024,391,979,495,898,545,789,1013,64,1797,1,1
34,1799,88.2,268,566,1043,390,984,522,978,551,866,1068,67,1785,1,1
19,1740,59,268,555,902,348,721,465,875,569,767,1082,66,1819,1,1
24,1702,73,268,570,1008,380,885,486,914,520,794,997,65,1765,2,1
29,1737,86.4,269,574,1027,418,961,518,921,542,807,1049,66,1798,1,1
24,1730,86.6,266,568,1044,406,996,515,913,543,795,1045,61,1744,1,1
23,1785,73.7,268,580,917,366,838,475,962,548,850,1056,61,1774,1,1
19,1817,65.4,287,552,917,358,752,467,927,576,813,1113,58,1954,1,1
21,1843,69.6,277,573,924,361,775,492,948,567,839,1119,63,1876,1,1
21,1791,77.5,264,564,994,379,809,493,919,568,814,1092,63,1875,1,1
22,1657,72.7,248,560,1001,363,862,493,862,519,750,1015,58,1663,1,1
26,1701,79.7,265,530,1069,376,1027,472,891,537,788,1011,55,1749,1,1
20,1786,74.4,262,592,995,374,797,487,955,543,843,1070,67,1855,1,1
27,1755,96.8,269,585,1104,398,1082,543,930,543,818,1018,62,1813,1,1
44,1791,86.6,274,553,1045,387,942,507,910,582,800,1102,62,1883,1,1
19,1759,74.2,275,563,1015,365,871,484,928,561,810,1054,60,1778,2,1
29,1790,92,269,593,1109,378,912,513,927,570,812,1092,65,1862,1,1
22,1782,81.4,260,575,991,390,873,490,963,543,844,1058,62,1691,1,1
28,1839,64.6,282,565,844,350,785,407,968,577,861,1112,58,1826,1,1
31,1880,95.4,280,582,1176,391,1023,530,931,613,810,1146,68,1909,1,1
28,1738,85.3,278,577,1085,407,924,527,948,544,830,1036,65,1828,1,1
31,1734,90,270,585,1085,410,1001,550,919,542,811,1006,69,1816,2,1
34,1819,83.5,284,580,1021,411,901,507,921,574,810,1115,64,1990,1,1
30,1683,85.1,265,601,1096,398,958,531,890,531,781,1035,66,1748,1,1
31,1815,89.7,275,571,1063,408,972,505,945,575,841,1099,67,1837,1,1
42,1815,87.2,279,565,1030,395,939,523,974,560,851,1067,71,1799,1,1
40,1673,82.2,246,562,1106,408,1003,527,908,505,783,979,65,1724,1,1
28,1831,111.2,285,594,1163,445,1139,551,967,579,845,1080,66,1880,1,1
48,1795,98.7,263,574,1089,398,1162,504,926,569,820,1051,64,1752,2,1
29,1845,110.5,275,600,1149,448,1111,540,961,579,845,1116,64,1918,1,1
32,1687,78.2,246,567,1041,378,900,501,940,507,828,997,60,1727,1,1
30,1756,86.9,274,566,1056,401,998,497,928,552,809,1023,63,1786,1,1
28,1846,141.3,294,594,1358,464,1330,607,927,612,823,1114,70,1919,1,1
21,1657,78.9,254,563,1025,395,897,527,897,507,781,991,63,1719,1,1
20,1632,69,257,571,1000,355,911,495,857,511,737,973,60,1723,1,1
29,1735,79.2,267,577,1026,390,861,499,916,548,798,1047,64,1858,1,1
34,1726,69.9,269,575,989,384,920,490,925,523,813,1009,61,1745,1,1
46,1877,121.2,283,600,1251,436,1192,559,986,596,869,1148,69,1914,1,1
38,1887,87.8,289,585,1030,380,1012,519,1007,578,893,1096,65,1915,1,1
39,1765,70.6,284,548,970,362,845,469,878,584,773,1081,62,1855,1,1
26,1793,82.2,280,557,1035,393,843,506,903,583,797,1115,64,1917,2,1
24,1849,99.2,288,625,1076,437,910,526,992,589,874,1097,70,1916,1,1
41,1811,76,263,556,1038,382,879,497,944,568,828,1112,65,1892,1,1
38,1739,98.8,276,578,1113,423,1031,525,930,544,808,1045,71,1786,1,1
24,1668,75.9,275,565,1011,377,929,460,843,540,723,1006,62,1716,1,1
19,1788,89.8,270,581,1024,374,994,508,941,576,825,1074,61,1891,1,1
31,1746,78.2,281,591,997,395,815,512,857,577,739,1099,65,1869,1,1
36,1750,83.1,265,563,1057,410,983,493,908,554,792,1030,62,1812,1,1
24,1810,99.6,285,596,1082,442,1004,539,951,594,835,1108,60,1883,1,1
33,1710,74.2,260,553,1002,398,825,483,930,519,811,1005,62,1707,1,1
31,1847,96.8,288,560,1132,399,1077,538,956,584,840,1107,61,1978,1,1
