Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Estonia,EST,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,11.13761,..,..,..
Eswatini,SWZ,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Ethiopia,ETH,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0,..,..,..
Faroe Islands,FRO,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Fiji,FJI,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Finland,FIN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,25.33686,..,..,..
France,FRA,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,6.055048,..,..,..
French Polynesia,PYF,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Gabon,GAB,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,18.49627,..,..,..
"Gambia, The",GMB,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Georgia,GEO,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.286485,..,..,..
Germany,DEU,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,5.715035,..,..,..
Ghana,GHA,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,8.076118,..,..,..
Gibraltar,GIB,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Greece,GRC,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,3.622194,..,..,..
Greenland,GRL,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Grenada,GRD,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Guam,GUM,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Guatemala,GTM,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.523059,..,..,..
Guinea,GIN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.45999,..,..,..
Guinea-Bissau,GNB,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Guyana,GUY,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Haiti,HTI,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.389878,..,..,..
Honduras,HND,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.666526,..,..,..
"Hong Kong SAR, China",HKG,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,10.96358,..,..,..
Hungary,HUN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.668489,..,..,..
Iceland,ISL,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
India,IND,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.331109,..,..,..
Indonesia,IDN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,3.222944,..,..,..
"Iran, Islamic Rep.",IRN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,26.9895,..,..,..
Iraq,IRQ,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.8906694,..,..,..
Ireland,IRL,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,13.11213,..,..,..
Isle of Man,IMN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Israel,ISR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,13.23465,..,..,..
Italy,ITA,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,4.735854,..,..,..
Jamaica,JAM,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Japan,JPN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.121738,..,..,..
Jordan,JOR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.3859392,..,..,..
Kazakhstan,KAZ,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,8.60771,..,..,..
Kenya,KEN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,37.10491,..,..,..
Kiribati,KIR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
"Korea, Dem. Rep.",PRK,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
"Korea, Rep.",KOR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,9.965193,..,..,..
Kosovo,XKX,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.671134,..,..,..
Kuwait,KWT,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.551176,..,..,..
Kyrgyz Republic,KGZ,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.4828576,..,..,..
Lao PDR,LAO,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.5406564,..,..,..
Latvia,LVA,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,9.063031,..,..,..
Lebanon,LBN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0,..,..,..
Lesotho,LSO,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,12.08301,..,..,..
Liberia,LBR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.937863,..,..,..
Libya,LBY,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.889964,..,..,..
Liechtenstein,LIE,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Lithuania,LTU,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,5.040308,..,..,..
Luxembourg,LUX,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,9.241374,..,..,..
"Macao SAR, China",MAC,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Madagascar,MDG,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.9942323,..,..,..
Malawi,MWI,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,3.685748,..,..,..
Malaysia,MYS,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,9.59754,..,..,..
Maldives,MDV,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Mali,MLI,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,4.324451,..,..,..
Malta,MLT,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,6.260293,..,..,..
Marshall Islands,MHL,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Mauritania,MRT,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.7481743,..,..,..
Mauritius,MUS,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.779823,..,..,..
Mexico,MEX,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.799025,..,..,..
"Micronesia, Fed. Sts.",FSM,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Moldova,MDA,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,3.402213,..,..,..
